YR   MTH   ANOM
1949  12  -1.03
1950   1  -1.34
1950   2  -1.19
1950   3  -0.70
1950   4  -0.99
1950   5  -1.32
1950   6  -0.66
1950   7  -0.27
1950   8  -0.23
1950   9  -0.48
1950  10  -0.16
1950  11  -0.51
1950  12  -0.42
1951   1  -0.58
1951   2   0.17
1951   3   0.67
1951   4   0.60
1951   5   0.61
1951   6   0.55
1951   7   0.90
1951   8   0.93
1951   9   1.07
1951  10   1.14
1951  11   0.74
1951  12   0.93
1952   1   0.47
1952   2   0.54
1952   3  -0.01
1952   4   0.85
1952   5  -0.13
1952   6  -0.80
1952   7  -0.42
1952   8  -0.01
1952   9   0.01
1952  10   0.25
1952  11  -0.15
1952  12  -0.40
1953   1   0.86
1953   2   0.75
1953   3   0.40
1953   4   0.88
1953   5   0.88
1953   6   1.05
1953   7   0.59
1953   8   0.41
1953   9   1.19
1953  10   0.36
1953  11   0.95
1953  12   0.41
1954   1   0.63
1954   2   0.87
1954   3   0.39
1954   4  -0.32
1954   5  -0.13
1954   6  -0.27
1954   7  -0.24
1954   8  -0.85
1954   9  -0.78
1954  10   0.01
1954  11  -0.15
1954  12  -0.15
1955   1  -0.25
1955   2   0.05
1955   3  -0.21
1955   4  -0.23
1955   5  -0.68
1955   6  -0.16
1955   7  -0.72
1955   8  -0.33
1955   9  -1.04
1955  10  -1.33
1955  11  -1.56
1955  12  -1.31
1956   1  -1.05
1956   2  -0.08
1956   3  -0.08
1956   4  -0.20
1956   5   0.01
1956   6   0.10
1956   7  -0.15
1956   8  -0.39
1956   9   0.01
1956  10   0.01
1956  11  -0.43
1956  12  -0.01
1957   1  -0.07
1957   2   0.07
1957   3   0.66
1957   4   0.87
1957   5   0.98
1957   6   0.78
1957   7   0.94
1957   8   1.36
1957   9   0.85
1957  10   1.21
1957  11   1.43
1957  12   1.71
1958   1   2.10
1958   2   1.84
1958   3   1.43
1958   4   0.64
1958   5   0.77
1958   6   0.57
1958   7   0.35
1958   8   0.43
1958   9   0.01
1958  10   0.24
1958  11   0.48
1958  12   0.38
1959   1   1.05
1959   2   0.87
1959   3   0.57
1959   4   0.46
1959   5   0.40
1959   6   0.11
1959   7  -0.25
1959   8  -0.19
1959   9  -0.24
1959  10   0.23
1959  11   0.13
1959  12   0.36
1960   1   0.17
1960   2   0.07
1960   3   0.33
1960   4   0.24
1960   5   0.17
1960   6   0.06
1960   7  -0.05
1960   8   0.35
1960   9   0.29
1960  10   0.13
1960  11  -0.20
1960  12  -0.16
1961   1   0.09
1961   2   0.15
1961   3   0.00
1961   4  -0.06
1961   5   0.25
1961   6   0.53
1961   7   0.13
1961   8  -0.05
1961   9  -0.29
1961  10  -0.35
1961  11   0.15
1961  12   0.03
1962   1  -0.11
1962   2   0.07
1962   3   0.02
1962   4  -0.11
1962   5  -0.39
1962   6   0.00
1962   7  -0.02
1962   8   0.07
1962   9  -0.35
1962  10  -0.17
1962  11  -0.40
1962  12  -0.32
1963   1  -0.38
1963   2  -0.18
1963   3   0.19
1963   4   0.11
1963   5  -0.12
1963   6   0.05
1963   7   1.17
1963   8   0.97
1963   9   1.11
1963  10   1.13
1963  11   0.94
1963  12   1.27
1964   1   0.98
1964   2   0.73
1964   3   0.10
1964   4  -0.52
1964   5  -0.70
1964   6  -0.76
1964   7  -0.53
1964   8  -0.47
1964   9  -0.64
1964  10  -0.48
1964  11  -0.79
1964  12  -0.48
1965   1  -0.16
1965   2   0.15
1965   3   0.31
1965   4   0.20
1965   5   0.59
1965   6   1.13
1965   7   1.30
1965   8   1.57
1965   9   1.59
1965  10   2.11
1965  11   1.87
1965  12   1.98
1966   1   1.57
1966   2   1.04
1966   3   1.26
1966   4   0.82
1966   5  -0.29
1966   6   0.41
1966   7   0.53
1966   8   0.02
1966   9   0.01
1966  10  -0.02
1966  11  -0.08
1966  12  -0.26
1967   1  -0.33
1967   2  -0.19
1967   3  -0.19
1967   4  -0.67
1967   5  -0.07
1967   6   0.46
1967   7   0.24
1967   8   0.04
1967   9  -0.31
1967  10  -0.07
1967  11   0.14
1967  12  -0.02
1968   1  -0.20
1968   2  -0.47
1968   3  -0.41
1968   4  -0.09
1968   5  -0.27
1968   6   0.58
1968   7   0.65
1968   8   0.47
1968   9   0.27
1968  10   0.44
1968  11   0.98
1968  12   0.81
1969   1   1.26
1969   2   1.14
1969   3   0.60
1969   4   0.25
1969   5   0.47
1969   6   0.37
1969   7   0.07
1969   8   0.41
1969   9   0.56
1969  10   0.75
1969  11   0.72
1969  12   0.97
1970   1   0.36
1970   2   0.07
1970   3   0.22
1970   4   0.43
1970   5   0.08
1970   6  -0.14
1970   7  -0.64
1970   8  -0.64
1970   9  -0.65
1970  10  -0.37
1970  11  -0.69
1970  12  -0.58
1971   1  -1.29
1971   2  -0.98
1971   3  -0.74
1971   4  -0.62
1971   5  -0.36
1971   6  -0.48
1971   7  -0.27
1971   8  -0.15
1971   9  -0.32
1971  10  -0.43
1971  11  -0.45
1971  12  -0.37
1972   1  -0.33
1972   2   0.07
1972   3   0.36
1972   4   0.54
1972   5   0.64
1972   6   0.81
1972   7   1.16
1972   8   1.47
1972   9   1.58
1972  10   1.87
1972  11   2.01
1972  12   2.02
1973   1   1.60
1973   2   1.45
1973   3   0.71
1973   4  -0.43
1973   5  -0.78
1973   6  -0.97
1973   7  -1.19
1973   8  -1.13
1973   9  -1.26
1973  10  -1.51
1973  11  -2.14
1973  12  -1.94
1974   1  -1.65
1974   2  -1.20
1974   3  -0.98
1974   4  -0.75
1974   5  -0.80
1974   6  -0.16
1974   7  -0.53
1974   8  -0.12
1974   9   0.02
1974  10  -0.60
1974  11  -0.76
1974  12  -0.41
1975   1   0.12
1975   2  -0.09
1975   3  -0.42
1975   4  -0.36
1975   5  -0.48
1975   6  -0.99
1975   7  -0.73
1975   8  -0.90
1975   9  -1.00
1975  10  -1.05
1975  11  -0.79
1975  12  -1.21
1976   1  -1.34
1976   2  -0.46
1976   3  -0.15
1976   4  -0.16
1976   5  -0.11
1976   6   0.31
1976   7   0.61
1976   8   0.63
1976   9   0.93
1976  10   1.12
1976  11   1.08
1976  12   0.95
1977   1   1.21
1977   2   0.71
1977   3   0.75
1977   4  -0.08
1977   5   0.30
1977   6   0.55
1977   7   0.70
1977   8   0.19
1977   9   0.55
1977  10   1.11
1977  11   1.00
1977  12   1.20
1978   1   0.97
1978   2   0.71
1978   3   0.45
1978   4  -0.39
1978   5  -0.26
1978   6  -0.33
1978   7  -0.15
1978   8  -0.49
1978   9  -0.18
1978  10  -0.15
1978  11   0.08
1978  12   0.52
1979   1   0.20
1979   2   0.32
1979   3   0.39
1979   4   0.20
1979   5   0.09
1979   6   0.10
1979   7  -0.10
1979   8   0.14
1979   9   0.75
1979  10   0.35
1979  11   0.46
1979  12   0.75
1980   1   0.70
1980   2   0.50
