Year,DJF,JFM,FMA,MAM,AMJ,MJJ,JJA,JAS,ASO,SON,OND,NDJ
1950,1.261773270100007,1.2847047292330314,1.328736373396223,1.3583224088169916,1.341859498755204,1.3049521116664347,1.2178359709767532,1.1963245776872449,1.2280688490957699,1.2233197087881384,1.2318743391711087,1.2424082528949902
1951,1.2827477011711876,1.4277419615120837,1.3224799694505658,1.3486774199256044,1.3197776263935683,1.2432867114441484,1.1789499571614401,1.1853038545264698,1.1854661882609916,1.2049912405164225,1.221182831490743,1.2173312607236837
1952,1.2418453465490853,1.22496039875013,1.3182425799398745,1.3709414597474476,0.7972749391727494,1.2514278136796413,1.2450751824535662,1.2598894597718253,1.0608106832130568,1.102912839211837,1.356583838610351,1.1434354008549246
1953,1.2294171097601727,1.2625605390406727,1.3277793613038105,1.349203532231854,1.3117351993164923,1.2532103272731412,1.1954084941204612,1.182087066635781,1.1782228035702969,1.2073160180676266,1.1990425126419841,1.2140383967665882
1954,1.2337970002515148,1.2634525037518345,1.223908069058652,2.8812309946876873,1.3592029583007779,1.2656973375638019,1.2016094147366707,1.193141078503104,1.2020155051924564,1.2521869903875043,1.2768135079554064,1.2788378616437428
1955,1.3530691862674107,1.3619891635122097,1.4121894316635697,1.3899308160450967,1.3780901039473712,1.277712428919578,1.2055114956954616,1.2059132206285836,1.2092669792108035,1.2155807048232043,1.2260796358080506,1.240617234295183
1956,1.2443094629530698,1.2664981077381436,1.4045205122671753,1.4763593129126122,1.8398939405755241,1.0165873836608104,1.2173618707560219,1.2257568882808303,1.1868283112832632,1.315315775955273,1.280491259900213,1.2955167301375041
1957,0.0,1.307174783541607,1.3418008331348146,1.341998260665758,1.3250128229796987,1.2493260363630587,1.1854020913653438,1.173773264809628,1.1834935755062008,1.2021895726727752,1.2158922814539403,1.2310158284912844
1958,1.2482151319444184,1.2705836352862758,1.3097959772654026,1.343357700195001,1.3115827962586502,1.2495904800006812,1.1839813718208645,1.1318668921480983,1.168165693084174,1.1746447475284958,1.1900335217134534,1.2336460363096244
1959,1.246222586258169,1.259694773164123,1.312697592597181,1.3401045849086746,1.3431211006942738,1.401229014887552,1.2146861748434394,1.2251669471980167,1.295391204084994,1.1265723597034696,1.198863534590356,1.2045171733205233
1960,1.1900040098961209,1.235848196747073,1.2724554469176894,1.3277371646603977,1.3202090022033366,1.189730969970499,1.1132824499522231,1.1655031622471779,1.170362747090153,1.174787317473951,1.2817583645719348,1.3250005616084466
1961,1.2488994759409242,1.2100350040389278,1.026785333478402,1.1375583413693342,1.2226192458048988,1.2138793990533032,1.1680391508891008,1.3425086878589458,1.2423075628693783,1.2175401317890215,1.3475146357483496,0.9768734861188746
1962,6.309121540312876,4.256736129905311,0.0,1.4432510365948077,1.4444990194860277,1.4391184947487448,0.5585057879411968,1.2635374073151722,1.25648855774915,1.2154365285841608,1.231078423699033,1.265567185179225
1963,1.258249547601183,1.2388657844990554,1.26243197688418,1.2379881936245571,0.7214310613705155,1.1740064231880316,1.1763513960705325,1.178569281726864,1.191378063456556,1.2048808767574717,1.2121946061240205,1.2307725070480218
1964,1.2456819094398857,1.2449207511328335,1.0632272718054796,1.3674089564443026,1.3260363900200804,1.2638213759602628,1.2224063228610946,1.2041273619375719,1.211120567540749,1.2328830220199463,1.2341378456659935,1.2575513406279308
1965,1.2657910117445863,1.27568128730859,1.2999901569996128,1.3153389100150297,1.2768340220857402,1.2340232170822045,1.1846337046328441,1.1815307176552974,1.1933347357821011,1.208649246248595,1.2196616353990302,1.2294697128701841
1966,1.2410661748779295,1.2740115144828938,1.3181111392245943,1.3325795751206946,1.3011259449809602,1.1482435392028034,1.178611190468385,1.1570012234215539,0.0,1.5734933973589436,1.2932698382245118,1.2587672428845817
1967,1.2857630102874964,1.3369293865148004,1.3834151735229816,1.4017388204516381,1.7885423326215748,1.1691300054155649,1.2064542060031849,116.50844444444445,1.2517728772356311,1.3278156261871596,0.5588629903354155,1.7596837590900654
1968,1.293820639831191,1.3171379988136633,1.3193749623179138,1.3830836456120887,1.0139659618359975,1.1701034297577342,1.1786482537133682,1.1656869976267927,1.166185287916609,1.195503363356516,1.2080168054667586,1.2321871935029736
1969,1.2453802152784665,1.2651930812970917,1.3029782993334382,1.3308721262295555,1.3170829344468207,1.2562811501597444,1.161559817168539,1.1501920880624077,1.1797892642408498,1.1948046317407806,1.214153569927581,1.219428723880929
1970,1.2133060325094456,1.220987135886441,1.3348586947296952,1.3189036137422128,1.3424254795553316,1.1877687231178384,1.1908649341778836,1.1943360001139012,1.2021979549124624,1.2293037854054776,1.2452428660263941,1.239506694777128
1971,1.2603438357712689,1.2812752275417347,1.3324289112136845,1.3631784551102515,1.324788983001774,1.280101359377062,1.230244897001426,1.2201786750491064,1.2199837114601513,1.232000313313882,1.2261831457255854,1.246490217874147
1972,1.2679371830650696,1.255211747180252,1.3280048126395112,1.339157401286135,1.3009399539321815,1.2393920384608768,1.1826513118841266,1.1803034899738962,1.191951813575652,1.207195267390098,1.2191189884892493,1.2297806969570564
1973,1.2440725549038587,1.2641511981621043,1.2680173301697573,1.4783782379122548,1.32091790846455,1.25119564396845,1.2023224348456958,1.1850266767544708,1.200610897150967,1.2125866517334127,1.2234162081599078,1.2341296551452157
1974,1.252856309330126,1.2852361764390445,1.320117330066089,1.3609299441394875,1.3731143985701137,1.300141184561617,1.2135637353938826,1.2021934201762334,1.260059483475143,1.242905684829392,1.2372240013438962,1.2563241553225233
1975,1.244937173914478,1.4195917687244857,1.3634152144671952,1.3689577440271556,1.3058622637374901,1.2474842270522215,1.2031572783368825,1.1965844288102803,1.1977179586200892,1.2213863056562102,1.232850010489422,1.2390530594169236
1976,1.248939143692034,1.2737073701888457,1.354139260122651,1.423829710191782,0.4499296298415256,1.1574096594052605,1.1820934558367624,1.174675208284927,1.1865208218729897,1.2011426792338669,1.2133175623553614,1.2271861224171339
1977,1.24383165698752,1.2647153857481916,1.2739597977208381,1.2942253673237438,1.214679352526875,1.2112418178276607,1.1938227801663819,1.1763487094788834,1.2008650581668125,1.2100710907028853,1.2132721841208398,1.220060770064427
1978,1.2393426831600522,1.2607530422786128,1.2289920300046884,1.7171004366812221,1.3550216810728544,1.2991574982654377,1.2020359189912115,1.196987696774103,1.2034222756228605,1.273728792970807,1.1912026658588306,1.2226337654710189
1979,1.2489561449281936,1.2600317238211716,1.2891729072693345,1.337617748197449,1.2854073627036815,1.3071254051358763,0.9691837017638446,1.1697400766011732,1.1808115313626109,1.2034915986974635,1.2157836622934153,1.2284206171677936
