month,factor,se,ci95_lo,ci95_hi
Jan,1.2491952732538072,0.00451954579585907,1.2403369634939234,1.258053583013691
Feb,1.2762354672166971,0.005042505966525745,1.2663521555223067,1.2861187789110875
Mar,1.335238100796055,0.006434449883010565,1.3226265790253542,1.3478496225667558
Apr,1.3868033283056842,0.0072784645164539,1.3725375378534346,1.4010691187579338
May,1.3608469064316617,0.007707871236937697,1.3457394788072639,1.3759543340560596
Jun,1.2503218644462952,0.007756500629215636,1.2351191232130325,1.265524605679558
Jul,1.1781012905234745,0.006774769404888032,1.1648227424898938,1.191379838557055
Aug,1.1751290213563814,0.005869079635679933,1.1636256252704487,1.1866324174423142
Sep,1.2004881990889453,0.005538823540281256,1.189632104949994,1.2113442932278966
Oct,1.2169597961090997,0.004890953948449631,1.2073735263701384,1.226546065848061
Nov,1.2180289838889744,0.004407279629971982,1.2093907158142294,1.2266672519637194
Dec,1.2319071450037344,0.004350232308520761,1.2233806896790338,1.240433600328435
