month,n,years,factor,se,ci95_lo,ci95_hi,rms_resid
Jan,20,2007-2026,1.247603575254282,0.0012990619423410151,1.2450574138472936,1.2501497366612704,0.00513175308060402
Feb,20,2007-2026,1.2736755311471744,0.0015505419412667344,1.2706364689422915,1.2767145933520572,0.005083854161451535
Mar,20,2007-2026,1.339080400198709,0.0025403567336769422,1.3341013010007023,1.3440594993967159,0.0060796698131793635
Apr,20,2007-2026,1.3899590132362127,0.002747470605213951,1.3845739708499933,1.3953440556224321,0.005407559036524808
May,20,2007-2026,1.3563203018364562,0.00256496077200889,1.3512929787233188,1.3613476249495937,0.004690497761337124
Jun,20,2007-2026,1.2479204210857706,0.0034100172442347587,1.2412367872870704,1.2546040548844708,0.006653690012386553
Jul,20,2007-2026,1.1870332905558674,0.0025053330649615524,1.1821228377485427,1.191943743363192,0.005886270513509639
Aug,20,2007-2026,1.1671431792592448,0.0016948146444671131,1.1638213425560893,1.1704650159624004,0.00519383581988814
Sep,20,2006-2025,1.2022349287184642,0.0017071495681415883,1.1988889155649067,1.2055809418720216,0.005366097305107443
Oct,20,2006-2025,1.2149282257014882,0.001326025300576014,1.212329216112359,1.2175272352906172,0.00485231786109753
Nov,20,2006-2025,1.2205257218228491,0.0012467898581773895,1.2180820137008215,1.2229694299448768,0.00520852841379401
Dec,20,2006-2025,1.2321737201521312,0.0012747384377885898,1.2296752328140657,1.2346722074901968,0.005392878928056346
