month,factor_through_origin,factor_offset_refit,delta
Jan,1.247603575254282,1.2461409308661724,-0.001462644388109613
Feb,1.2736755311471744,1.2717490491338819,-0.0019264820132924854
Mar,1.339080400198709,1.3364593569180392,-0.0026210432806699213
Apr,1.3899590132362127,1.3859075849714837,-0.00405142826472904
May,1.3563203018364562,1.3516490467662599,-0.0046712550701963895
Jun,1.2479204210857706,1.245622970424514,-0.002297450661256528
Jul,1.1870332905558674,1.1857714700175723,-0.0012618205382950443
Aug,1.1671431792592448,1.1657521223083023,-0.0013910569509425486
Sep,1.2022349287184642,1.2004741070329612,-0.0017608216855029557
Oct,1.2149282257014882,1.2135707009554653,-0.001357524746022909
Nov,1.2205257218228491,1.2196327103010918,-0.0008930115217573587
Dec,1.2321737201521312,1.231300950243322,-0.0008727699088091345
