SEAS,YR,ANOM_seas,3mo_avg,diff
DJF,1950,-1.19,-1.1866666666666668,-0.0033333333333331883
JFM,1950,-1.08,-1.0766666666666669,-0.0033333333333331883
FMA,1950,-0.96,-0.96,0.0
MAM,1950,-1.0,-1.0033333333333332,0.0033333333333331883
AMJ,1950,-0.99,-0.9899999999999999,-1.1102230246251565e-16
MJJ,1950,-0.75,-0.75,0.0
JJA,1950,-0.38,-0.3866666666666667,0.00666666666666671
JAS,1950,-0.32,-0.32666666666666666,0.006666666666666654
ASO,1950,-0.29,-0.29,0.0
SON,1950,-0.38,-0.3833333333333333,0.0033333333333332993
OND,1950,-0.36,-0.36333333333333334,0.003333333333333355
NDJ,1950,-0.5,-0.5033333333333333,0.0033333333333332993
DJF,1951,-0.28,-0.2766666666666666,-0.0033333333333334103
JFM,1951,0.09,0.08666666666666673,0.0033333333333332715
FMA,1951,0.48,0.48,0.0
MAM,1951,0.63,0.6266666666666667,0.0033333333333332993
AMJ,1951,0.59,0.5866666666666667,0.0033333333333332993
MJJ,1951,0.69,0.6866666666666666,0.0033333333333332993
JJA,1951,0.79,0.7933333333333334,-0.0033333333333334103
JAS,1951,0.97,0.9666666666666668,0.0033333333333331883
ASO,1951,1.04,1.0466666666666666,-0.006666666666666599
SON,1951,0.98,0.9833333333333334,-0.0033333333333334103
OND,1951,0.94,0.9366666666666666,0.0033333333333332993
NDJ,1951,0.71,0.7133333333333334,-0.0033333333333334103
DJF,1952,0.65,0.6466666666666668,0.0033333333333331883
JFM,1952,0.33,0.3333333333333334,-0.0033333333333334103
FMA,1952,0.46,0.46000000000000013,-1.1102230246251565e-16
MAM,1952,0.24,0.23666666666666672,0.0033333333333332715
AMJ,1952,-0.03,-0.026666666666666616,-0.0033333333333333826
MJJ,1952,-0.45,-0.44999999999999996,-5.551115123125783e-17
JJA,1952,-0.41,-0.4099999999999999,-5.551115123125783e-17
JAS,1952,-0.14,-0.13999999999999993,-8.326672684688674e-17
ASO,1952,0.08,0.08333333333333341,-0.0033333333333334103
SON,1952,0.04,0.03666666666666674,0.0033333333333332577
OND,1952,-0.1,-0.09999999999999994,-6.938893903907228e-17
NDJ,1952,0.1,0.10333333333333339,-0.0033333333333333826
DJF,1953,0.4,0.4033333333333334,-0.003333333333333355
JFM,1953,0.67,0.67,0.0
FMA,1953,0.68,0.6766666666666667,0.0033333333333332993
MAM,1953,0.72,0.7200000000000001,-1.1102230246251565e-16
AMJ,1953,0.94,0.9366666666666669,0.0033333333333330772
MJJ,1953,0.84,0.8400000000000002,-2.220446049250313e-16
JJA,1953,0.68,0.6833333333333335,-0.0033333333333334103
JAS,1953,0.73,0.7300000000000001,-1.1102230246251565e-16
ASO,1953,0.65,0.6533333333333334,-0.0033333333333334103
SON,1953,0.84,0.8333333333333334,0.006666666666666599
OND,1953,0.57,0.5733333333333334,-0.0033333333333334103
NDJ,1953,0.66,0.6633333333333334,-0.0033333333333334103
DJF,1954,0.63,0.6366666666666667,-0.00666666666666671
JFM,1954,0.63,0.63,0.0
FMA,1954,0.31,0.3133333333333334,-0.0033333333333334103
MAM,1954,-0.02,-0.019999999999999924,-7.632783294297951e-17
AMJ,1954,-0.24,-0.2399999999999999,-8.326672684688674e-17
MJJ,1954,-0.21,-0.21333333333333326,0.0033333333333332715
JJA,1954,-0.45,-0.4533333333333333,0.0033333333333332993
JAS,1954,-0.62,-0.6233333333333332,0.0033333333333331883
ASO,1954,-0.54,-0.5399999999999999,-1.1102230246251565e-16
SON,1954,-0.31,-0.3066666666666666,-0.0033333333333334103
OND,1954,-0.09,-0.09666666666666658,0.006666666666666585
NDJ,1954,-0.18,-0.18333333333333326,0.0033333333333332715
DJF,1955,-0.12,-0.11666666666666659,-0.0033333333333334103
JFM,1955,-0.14,-0.13666666666666658,-0.003333333333333438
FMA,1955,-0.13,-0.12999999999999992,-8.326672684688674e-17
MAM,1955,-0.38,-0.3733333333333333,-0.00666666666666671
AMJ,1955,-0.36,-0.35666666666666663,-0.003333333333333355
MJJ,1955,-0.52,-0.5199999999999999,-1.1102230246251565e-16
JJA,1955,-0.4,-0.40333333333333327,0.0033333333333332438
JAS,1955,-0.7,-0.6966666666666667,-0.0033333333333332993
ASO,1955,-0.9,-0.8999999999999999,-1.1102230246251565e-16
SON,1955,-1.31,-1.3099999999999998,-2.220446049250313e-16
OND,1955,-1.4,-1.3999999999999997,-2.220446049250313e-16
NDJ,1955,-1.31,-1.3066666666666666,-0.0033333333333334103
DJF,1956,-0.81,-0.8133333333333334,0.0033333333333332993
JFM,1956,-0.4,-0.40333333333333327,0.0033333333333332438
FMA,1956,-0.12,-0.11999999999999993,-6.938893903907228e-17
MAM,1956,-0.09,-0.08999999999999993,-6.938893903907228e-17
AMJ,1956,-0.03,-0.02999999999999993,-6.938893903907228e-17
MJJ,1956,-0.01,-0.013333333333333258,0.0033333333333332577
JJA,1956,-0.15,-0.14666666666666658,-0.0033333333333334103
JAS,1956,-0.18,-0.1766666666666666,-0.0033333333333333826
ASO,1956,-0.12,-0.12333333333333325,0.0033333333333332577
SON,1956,-0.14,-0.13666666666666658,-0.003333333333333438
OND,1956,-0.14,-0.14333333333333326,0.0033333333333332438
NDJ,1956,-0.17,-0.16999999999999993,-8.326672684688674e-17
DJF,1957,0.0,-0.0033333333333332577,0.0033333333333332577
JFM,1957,0.22,0.22000000000000008,-8.326672684688674e-17
FMA,1957,0.53,0.5333333333333333,-0.0033333333333332993
MAM,1957,0.83,0.8366666666666668,-0.006666666666666821
AMJ,1957,0.88,0.8766666666666668,0.0033333333333331883
MJJ,1957,0.9,0.9,0.0
JJA,1957,1.03,1.0266666666666666,0.0033333333333334103
JAS,1957,1.05,1.05,0.0
ASO,1957,1.14,1.1400000000000001,-2.220446049250313e-16
SON,1957,1.16,1.1633333333333333,-0.0033333333333334103
OND,1957,1.45,1.45,0.0
NDJ,1957,1.75,1.7466666666666668,0.0033333333333331883
DJF,1958,1.89,1.8833333333333335,0.0066666666666663765
JFM,1958,1.79,1.7900000000000003,-2.220446049250313e-16
FMA,1958,1.31,1.3033333333333335,0.006666666666666599
MAM,1958,0.95,0.9466666666666668,0.0033333333333331883
AMJ,1958,0.66,0.66,0.0
MJJ,1958,0.56,0.5633333333333334,-0.0033333333333332993
JJA,1958,0.45,0.44999999999999996,5.551115123125783e-17
JAS,1958,0.26,0.2633333333333333,-0.0033333333333332993
ASO,1958,0.23,0.22666666666666666,0.003333333333333355
SON,1958,0.24,0.24333333333333332,-0.003333333333333327
OND,1958,0.36,0.3666666666666667,-0.00666666666666671
NDJ,1958,0.64,0.6366666666666666,0.0033333333333334103
DJF,1959,0.77,0.7666666666666666,0.0033333333333334103
JFM,1959,0.83,0.8300000000000001,-1.1102230246251565e-16
FMA,1959,0.64,0.6333333333333332,0.006666666666666821
MAM,1959,0.48,0.4766666666666666,0.003333333333333355
AMJ,1959,0.33,0.3233333333333333,0.00666666666666671
MJJ,1959,0.09,0.08666666666666657,0.003333333333333424
JJA,1959,-0.11,-0.11000000000000008,8.326672684688674e-17
JAS,1959,-0.23,-0.2266666666666667,-0.0033333333333332993
ASO,1959,-0.07,-0.06666666666666674,-0.0033333333333332715
SON,1959,0.04,0.03999999999999993,6.938893903907228e-17
OND,1959,0.24,0.2399999999999999,8.326672684688674e-17
NDJ,1959,0.22,0.21999999999999995,5.551115123125783e-17
DJF,1960,0.2,0.19999999999999993,8.326672684688674e-17
JFM,1960,0.19,0.18999999999999995,5.551115123125783e-17
FMA,1960,0.21,0.21333333333333326,-0.0033333333333332715
MAM,1960,0.25,0.24666666666666662,0.0033333333333333826
AMJ,1960,0.16,0.1566666666666666,0.0033333333333334103
MJJ,1960,0.06,0.05999999999999992,7.632783294297951e-17
JJA,1960,0.12,0.11999999999999993,6.938893903907228e-17
JAS,1960,0.2,0.19666666666666657,0.003333333333333438
ASO,1960,0.26,0.2566666666666666,0.0033333333333334103
SON,1960,0.08,0.07333333333333325,0.006666666666666751
