SEAS,n,years,factor,se,ci95_lo,ci95_hi,rms_resid
DJF,20,2007-2026,1.250367503969939,0.0014547504899364346,1.2475161930096634,1.2532188149302144,0.005498806809163617
JFM,20,2007-2026,1.2796516325757838,0.001895125288026956,1.275937187011251,1.2833660781403167,0.00599573685289144
FMA,20,2007-2026,1.3221676799186515,0.003139674258728137,1.3160139183715442,1.3283214414657587,0.007769804882415542
MAM,20,2007-2026,1.359751646213784,0.002547542801390686,1.3547584623230582,1.3647448301045098,0.0047772732310381845
AMJ,20,2007-2026,1.333415594336192,0.007328945570133455,1.3190508610187306,1.3477803276536535,0.012378416914676497
MJJ,20,2007-2026,1.2543348861857644,0.0066476189430755795,1.2413055530573363,1.2673642193141925,0.01275491955835777
JJA,20,2007-2026,1.194837702862174,0.00261337061097469,1.1897154964646635,1.1999599092596844,0.006297694184412084
JAS,20,2006-2025,1.1872472527310476,0.0018095628719227458,1.183700509502079,1.1907939959600162,0.004731722962225174
ASO,20,2006-2025,1.1984687767448619,0.00142615089247077,1.195673520995619,1.2012640324941046,0.004485233106247639
SON,20,2006-2025,1.2122613891532577,0.0011265393749225845,1.2100533719784095,1.2144694063281058,0.004083777554498801
OND,20,2006-2025,1.2235020686677331,0.0011174387795035924,1.2213118886599061,1.2256922486755601,0.0044517232761700195
NDJ,20,2006-2025,1.232171465881344,0.0012892936162484127,1.2296444503934971,1.234698481369191,0.005271194689223602
