SEAS,n,ref_year,factor_single_row,factor_mean_all_years,factor_std_all_years,max_abs_err_other_years,rms_err_other_years
DJF,77,1983,1.2474430196864665,1.3108634238399022,0.5991857380350608,0.013515104810202239,0.005970704355548968
JFM,77,1983,1.2737448651433918,1.3120463051251907,0.34018575557597597,0.015299616481863287,0.0075181549217048765
FMA,77,1992,1.3247804273188115,1.2888769744094941,0.16158589272290919,0.025963837846004756,0.009766977192093964
MAM,77,1992,1.3544570337327362,1.3760612781304824,0.1839497029961843,0.014892408801052526,0.006783751217211059
AMJ,77,1988,1.3076381280360494,1.3570419383348802,0.2635800854542426,0.03633766949705782,0.015285395843042641
MJJ,77,1988,1.259185656017723,1.1769163532068991,0.6886489490726011,0.0446072451465524,0.014306324285944957
JJA,77,1988,1.2069030349705188,1.180676315589095,0.10719819390643852,0.028238635353434294,0.010524914886837895
JAS,76,1997,1.1809290512969506,2.715691879660177,13.13982942447722,0.014502634379467971,0.006251560599829383
ASO,76,1997,1.1931929010077806,1.1855903984972778,0.14551844072710562,0.013627944613289533,0.00603921071494585
SON,76,1997,1.2109746038395968,1.2211246533821134,0.05116502644325367,0.011560801934364151,0.005834586342601705
OND,76,1997,1.221256198689346,1.2242727752375944,0.08950792799446025,0.01185251519261239,0.0056072378085305985
NDJ,76,1982,1.2309299227708963,1.2384015204419598,0.0709596245385877,0.012054786934357242,0.00575673695765642
