SEAS,rms_seasonal_fit,rms_monthly_fit
DJF,0.005498806809163617,0.004491042712317244
JFM,0.00599573685289144,0.004652430944855705
FMA,0.007769804882415542,0.005368201092404884
MAM,0.0047772732310381845,0.004774872270892527
AMJ,0.012378416914676497,0.0056387198719763795
MJJ,0.01275491955835777,0.0044483477477681955
JJA,0.006297694184412084,0.005205826882683869
JAS,0.004731722962225174,0.004824206360286784
ASO,0.004485233106247639,0.00458565139182369
SON,0.004083777554498801,0.004334273167851365
OND,0.0044517232761700195,0.004676244721809361
NDJ,0.005271194689223602,0.0045978885943101086
