month,factor_weighted,factor_unweighted,delta,se_weighted,rms_weighted,rms_unweighted
Jan,1.247603575254282,1.2448896159485758,-0.0027139593057061706,0.0012990619423410151,0.00513175308060402,0.005117747505315684
Feb,1.2736755311471744,1.2710363822764599,-0.0026391488707144806,0.0015505419412667344,0.005083854161451535,0.0050126672487004476
Mar,1.339080400198709,1.3359005349849504,-0.0031798652137586814,0.0025403567336769422,0.0060796698131793635,0.006175138980330583
Apr,1.3899590132362127,1.3865205390937183,-0.00343847414249443,0.002747470605213951,0.005407559036524808,0.005616566782159218
May,1.3563203018364562,1.3529831519693358,-0.0033371498671204147,0.00256496077200889,0.004690497761337124,0.00476993010137154
Jun,1.2479204210857706,1.2450285888312282,-0.0028918322545423703,0.0034100172442347587,0.006653690012386553,0.006476391046212655
Jul,1.1870332905558674,1.1847645936496858,-0.0022686969061815887,0.0025053330649615524,0.005886270513509639,0.006088513994504615
Aug,1.1671431792592448,1.1648090292407112,-0.002334150018533654,0.0016948146444671131,0.00519383581988814,0.005292901395438445
Sep,1.2022349287184642,1.1998677610423203,-0.0023671676761438665,0.0017071495681415883,0.005366097305107443,0.005210051983555231
Oct,1.2149282257014882,1.212376029295392,-0.0025521964060961633,0.001326025300576014,0.00485231786109753,0.0048980141796872295
Nov,1.2205257218228491,1.217815574307211,-0.0027101475156381394,0.0012467898581773895,0.00520852841379401,0.005109596002649247
Dec,1.2321737201521312,1.2292628558937349,-0.002910864258396373,0.0012747384377885898,0.005392878928056346,0.0052888708899114165
